Size (bp),A1: CFD1806872
1163.82,12.18
1166.40,13.09
1168.99,13.80
1171.57,13.65
1174.16,12.86
1176.74,12.26
1179.32,12.36
1181.91,12.82
1184.49,13.12
1187.08,13.35
1189.66,13.68
1192.25,14.02
1194.83,14.30
1197.42,14.42
1200.00,14.01
1201.00,13.25
1205.10,12.89
1209.19,13.07
1213.29,13.20
1217.38,12.93
1221.48,12.37
1225.58,12.04
1229.67,12.45
1233.77,13.41
1237.86,13.95
1241.96,13.56
1246.05,12.93
1250.15,12.84
1254.25,13.33
1258.34,14.07
1262.44,14.64
1266.53,14.60
1270.63,13.95
1274.73,13.24
1278.82,13.21
1282.92,14.14
1287.01,15.38
1291.11,16.22
1295.21,16.55
1299.30,16.38
1303.40,16.45
1307.49,16.84
1311.59,17.45
1315.68,17.98
1319.78,18.08
1323.88,17.79
1327.97,17.77
1332.07,18.35
1336.16,18.98
1340.26,19.04
1344.36,18.69
1348.45,18.43
1352.55,18.40
1356.64,18.47
1360.74,18.34
1364.84,17.78
1368.93,17.18
1373.03,17.20
1377.12,17.93
1381.22,18.76
1385.32,19.19
1389.41,19.23
1393.51,19.06
1397.60,18.69
1401.70,18.18
1405.79,17.72
1409.89,17.32
1413.99,17.02
1418.08,17.10
1422.18,17.81
1426.27,18.99
1430.37,20.17
1434.47,20.97
1438.56,21.59
1442.66,22.53
1446.75,23.69
1450.85,24.29
1454.95,24.06
1459.04,23.65
1463.14,23.73
1467.23,24.41
1471.33,25.31
1475.42,26.16
1479.52,27.10
1483.62,28.25
1487.71,29.35
1491.81,30.09
1495.90,30.35
1500.00,30.17
1501.00,29.82
1511.62,29.70
1522.23,30.02
1532.85,30.65
1543.47,31.44
1554.09,32.46
1564.70,33.85
1575.32,35.39
1585.94,36.46
1596.55,36.81
1607.17,36.96
1617.79,37.37
1628.40,37.83
1639.02,38.13
1649.64,38.61
1660.26,39.52
1670.87,40.78
1681.49,42.38
1692.11,44.40
1702.72,46.49
1713.34,48.12
1723.96,49.45
1734.57,51.01
1745.19,52.59
1755.81,53.55
1766.43,53.81
